Id,Prospect,Disposition,App.Year,MonthDeadline,DateDeadline,YearDeadline,UniversityId,Selectivity,Tier,Major.1,Major.2,Minor,GPA,Met,Sourced,Type,Size,Region,AlumniCount,CurrentCMCount,CurrentTFAStaffCount,InequityAwareness,TFAAwareness,StudentsCount,ISSTEM,Tier2016,Tier2017
2016_71,Undergrad,Accepted,2016,January,15,2016,001F000000nH7fLIAS,4,3,Business,Accounting,Information Systems,No,Yes,Self,Public,Very Large,W,409,56,10,2,5,25000,No,3,3
2016_74,Undergrad,Withdrawn,2016,March,4,2016,001F000000nH9UnIAK,4,3,Social Work,,Spanish,Yes,No,Recruiter,Public,Very Large,S,62,14,3,0,0,25000,No,3,2
2016_76,Undergrad,Withdrawn,2016,March,4,2016,001F000000nHEwJIAW,4,3,Sociology,,,Yes,No,Recruiter,Public,Very Large,N,346,29,19,2,5,25000,No,3,3
2016_78,Undergrad,Rejected,2016,March,4,2016,001F000000nH83rIAC,3,3,Psychology,Sociology,,No,No,Self,Public,Very Large,W,102,20,10,1,3,25000,No,3,2
2016_81,Undergrad,Rejected,2016,March,4,2016,001F000000nHEGfIAO,5,3,Political Science,,,No,Yes,Self,Public,Very Large,W,795,82,23,5,5,25000,No,3,3
2016_82,Undergrad,Withdrawn,2016,March,4,2016,001F000000nHDGZIA4,4,3,Education (general),,,No,No,Self,Public,Very Large,S,147,17,15,1,3,25000,No,3,2
2016_86,Undergrad,Rejected,2016,March,4,2016,001F000000nH9USIA0,4,3,Management,,Organizational Studies,No,No,Self,Public,Very Large,N,143,12,3,1,3,25000,No,3,2
2016_89,Undergrad,Withdrawn,2016,March,4,2016,001F000000nHE91IAG,4,3,Communications,,,Yes,Yes,Recruiter,Private NFP,Very Large,S,109,31,6,0,0,25000,No,3,2
2016_90,Undergrad,Accepted,2016,March,4,2016,001F000000nHCK2IAO,3,3,English,,,No,Yes,Recruiter,Private NFP,Small,E,121,12,1,5,2,5000,No,3,3
2016_91,Undergrad,Withdrawn,2016,March,4,2016,001F000000nH7Z1IAK,4,3,Marketing,,Communications,No,Yes,Recruiter,Public,Very Large,E,108,19,8,1,3,25000,No,3,2
2016_92,Undergrad,Rejected,2016,March,4,2016,001F000000nHAX5IAO,4,3,English,,Education (general),No,No,Self,Public,Very Large,E,216,27,8,0,0,25000,No,3,2
2016_93,Undergrad,Withdrawn,2016,March,4,2016,001F000000nHEyqIAG,4,3,International Studies/Relations,,Public Health,Yes,No,Self,Private NFP,Very Large,E,346,32,16,2,5,25000,No,3,3
2016_95,Undergrad,Rejected,2016,March,4,2016,001F000000nH83bIAC,4,3,Environmental Studies,History,,No,Yes,Recruiter,Public,Very Large,N,655,55,25,5,5,25000,Yes,3,3
2016_100,Undergrad,Withdrawn,2016,March,4,2016,001F000000nHAX1IAO,4,3,Business,Economics,,Yes,No,Self,Public,Very Large,N,408,31,7,1,3,25000,No,3,2
2016_101,Undergrad,Accepted,2016,March,4,2016,001F000000nHEFEIA4,4,3,Human Services,,Spanish,Yes,Yes,Self,Public,Very Large,S,131,34,9,0,0,25000,No,3,2
2016_104,Undergrad,Accepted,2016,March,4,2016,001F000000nH7GQIA0,4,3,Spanish,History,,Yes,Yes,Self,Public,Very Large,W,113,10,3,5,2,25000,No,3,2
2016_105,Undergrad,Accepted,2016,March,4,2016,001F000000nHAWvIAO,5,3,Psychology,,,Yes,Yes,Self,Private NFP,Very Large,W,511,37,26,5,5,25000,No,3,3
2016_106,Undergrad,Rejected,2016,March,4,2016,001F000000nH7YrIAK,4,3,Physics,,,No,Yes,Self,Public,Very Large,W,177,33,7,5,2,25000,Yes,3,2
2016_107,Undergrad,Rejected,2016,March,4,2016,001F000000nH7fLIAS,4,3,Political Science,,,No,No,Self,Public,Very Large,W,409,56,10,2,5,25000,No,3,3
2016_110,Undergrad,Rejected,2016,March,4,2016,001F000000nH9UnIAK,4,3,French,International Studies/Relations,,No,No,Self,Public,Very Large,S,62,14,3,0,0,25000,No,3,2
2016_111,Undergrad,Withdrawn,2016,March,4,2016,001F000000nHCFFIA4,4,3,Theater,,Political Science,No,Yes,Self,Private NFP,Medium,W,88,13,4,5,5,12500,No,3,3
2016_113,Undergrad,Rejected,2016,March,4,2016,001F000000nH7Z8IAK,4,3,Public Relations,,Other,No,Yes,Self,Public,Very Large,E,135,23,5,1,3,25000,No,3,2
2016_115,Undergrad,Rejected,2016,March,4,2016,001F000000nHEN6IAO,4,3,Advertising,,,No,Yes,Self,Public,Very Large,S,536,79,28,5,5,25000,No,3,3
2016_118,Undergrad,Accepted,2016,March,4,2016,001F000000nH7Z8IAK,4,3,Marketing,,Other,Yes,Yes,Self,Public,Very Large,E,135,23,5,1,3,25000,No,3,2
2016_122,Undergrad,Rejected,2016,March,4,2016,001F000000nH9c1IAC,4,3,Communications,Education (general),Chemical Engineering,No,No,Self,Public,Large,S,76,21,4,1,3,22500,No,3,2
2016_124,Undergrad,Withdrawn,2016,March,4,2016,001F000000nHE91IAG,4,3,Child Studies,,,Yes,Yes,Self,Private NFP,Very Large,S,109,31,6,0,0,25000,No,3,2
2016_125,Undergrad,Rejected,2016,March,4,2016,001F000000nHAX1IAO,4,3,Psychology,,Sociology,No,No,Self,Public,Very Large,N,408,31,7,1,3,25000,No,3,2
2016_126,Undergrad,Withdrawn,2016,March,4,2016,001F000000nHANlIAO,5,3,Economics,,History,No,Yes,Self,Public,Very Large,E,529,36,23,5,5,25000,No,3,3
2016_129,Undergrad,Rejected,2016,March,4,2016,001F000000nHAh1IAG,5,3,English,,Film/Video,No,No,Self,Public,Very Large,W,595,103,17,5,5,25000,No,3,3
2016_138,Undergrad,Accepted,2016,March,4,2016,001F000000nH7LFIA0,4,3,International Studies/Relations,,,Yes,Yes,Self,Private NFP,Medium,E,181,37,3,2,5,12500,No,3,3
2016_139,Undergrad,Rejected,2016,March,4,2016,001F000000nH9KXIA0,3,3,Communications,,,No,No,Self,Public,Medium,W,50,37,1,5,2,12500,No,3,2
2016_141,Undergrad,Rejected,2016,March,4,2016,001F000000nHCmgIAG,5,3,Education (secondary),,,Yes,No,Self,Private NFP,Very Large,E,326,43,17,1,3,25000,No,3,3
2016_148,Undergrad,Rejected,2016,March,4,2016,001F000000nH7K8IAK,3,3,Creative Writing,,,No,Yes,Self,Private NFP,Medium,S,25,5,0,0,0,12500,No,3,1
2016_149,Undergrad,Accepted,2016,March,4,2016,001F000000nHAW3IAO,5,3,Other,,,No,Yes,Self,Private NFP,Medium,W,314,18,4,5,5,12500,No,3,3
2016_151,Undergrad,Rejected,2016,October,30,2015,001F000000nH7LFIA0,4,3,Economics,,,No,No,Self,Private NFP,Medium,E,181,37,3,2,5,12500,No,3,3
2016_153,Undergrad,Accepted,2016,October,30,2015,001F000000nHCK7IAO,5,3,History,,Education (secondary),No,Yes,Self,Private NFP,Medium,E,166,14,14,5,5,12500,No,3,3
2016_155,Undergrad,Rejected,2016,October,30,2015,001F000000nHAh1IAG,5,3,Chinese,,,Yes,No,Self,Public,Very Large,W,595,103,17,5,5,25000,No,3,3
2016_156,Undergrad,Rejected,2016,October,30,2015,001F000000nH7GDIA0,5,3,Biology,,Asian American Studies,No,No,Self,Public,Very Large,W,316,53,10,5,2,25000,No,3,3
2016_157,Undergrad,Accepted,2016,January,15,2016,001F000000nHAP2IAO,4,3,Other,Psychology,,No,No,Self,Private NFP,Small,E,124,15,5,1,3,5000,No,3,2
2016_159,Undergrad,Rejected,2016,October,30,2015,001F000000nH9UWIA0,2,3,Business,,,No,Yes,Self,Public,Medium,W,30,11,0,5,2,12500,No,3,0
2016_160,Undergrad,Rejected,2016,October,30,2015,001F000000nHAP0IAO,3,3,Psychology,,Music,Yes,No,Self,Public,Very Large,S,37,8,0,3,3,25000,No,3,0
2016_167,Undergrad,Rejected,2016,January,15,2016,001F000000nH83VIAS,3,3,Other,,,No,No,Self,Public,Very Large,W,299,72,20,2,5,25000,No,3,3
2016_170,Undergrad,Withdrawn,2016,January,15,2016,001F000000nH9UiIAK,4,3,Health,,Spanish,No,No,Self,Public,Very Large,N,257,34,24,1,3,25000,No,3,2
2016_171,Undergrad,Rejected,2016,January,15,2016,001F000000nHE91IAG,4,3,Biology,,,No,Yes,Recruiter,Private NFP,Very Large,S,109,31,6,0,0,25000,No,3,2
2016_172,Undergrad,Rejected,2016,March,4,2016,001F000000nHEQXIA4,5,3,Sociology,Women's Studies,,No,Yes,Recruiter,Private NFP,Medium,E,516,36,14,5,2,12500,No,3,3
2016_173,Undergrad,Rejected,2016,August,21,2015,001F000000nH82qIAC,4,3,Political Science,Communications,,Yes,Yes,Self,Public,Very Large,N,328,54,17,1,3,25000,No,3,3
2016_175,Undergrad,Rejected,2016,October,30,2015,001F000000nH7GcIAK,4,3,Linguistics,,Writing,No,No,Self,Public,Very Large,E,36,6,2,1,3,25000,No,3,1
2016_177,Undergrad,Rejected,2016,October,30,2015,001F000000nH7gmIAC,4,3,Pre-medicine,,Spanish,No,No,Self,Public,Very Large,S,222,46,9,1,3,25000,No,3,3
2016_180,Undergrad,Rejected,2016,March,4,2016,001F000000nH7YrIAK,4,3,Other,,Chicano(a) Studies,No,Yes,Recruiter,Public,Very Large,W,177,33,7,5,2,25000,No,3,2
2016_182,Undergrad,Accepted,2016,October,30,2015,001F000000nH9KXIA0,3,3,Child Development,,,No,Yes,Self,Public,Medium,W,50,37,1,5,2,12500,No,3,2
2016_183,Undergrad,Rejected,2016,March,4,2016,001F000000nH9wzIAC,4,3,Sociology,,Education (general),No,No,Self,Public,Medium,W,66,26,0,5,2,12500,No,3,2
2016_185,Undergrad,Rejected,2016,October,30,2015,001F000000nHEGfIAO,5,3,Economics,,,No,Yes,Self,Public,Very Large,W,795,82,23,5,5,25000,No,3,3
2016_186,Undergrad,Rejected,2016,October,30,2015,001F000000nH83bIAC,4,3,Psychology,,,No,No,Self,Public,Very Large,N,655,55,25,5,5,25000,No,3,3
2016_187,Undergrad,Rejected,2016,October,30,2015,001F000000nHAh7IAG,4,3,Psychology,Criminal Justice,,No,Yes,Self,Public,Very Large,E,113,33,8,1,3,25000,No,3,2
2016_190,Undergrad,Accepted,2016,October,30,2015,001F000000nHAWqIAO,3,3,Psychology,,Women's Studies,Yes,No,Self,Public,Very Large,S,26,13,1,1,3,25000,No,3,2
2016_192,Undergrad,Withdrawn,2016,October,30,2015,001F000000nHC9zIAG,3,3,Political Science,,Russian,Yes,No,Self,Private NFP,Medium,E,202,40,15,5,5,12500,No,3,3
2016_193,Undergrad,Withdrawn,2016,October,30,2015,001F000000nHAWKIA4,5,3,Psychology,,,No,Yes,Recruiter,Public,Very Large,N,973,82,38,5,5,25000,No,3,3
2016_194,Undergrad,Accepted,2016,October,30,2015,001F000000nHCtmIAG,2,3,Anthropology,,,Yes,Yes,Self,Public,Small,W,12,12,0,5,2,5000,No,3,2
2016_195,Undergrad,Withdrawn,2016,January,15,2016,001F000000nHAVwIAO,5,3,Political Science,,Economics,No,Yes,Self,Private NFP,Medium,E,260,13,7,4,5,12500,No,3,3
2016_196,Undergrad,Accepted,2016,January,15,2016,001F000000nHAWNIA4,4,3,English,,Communications,No,Yes,Self,Public,Very Large,S,734,104,22,5,5,25000,No,3,3
2016_198,Undergrad,Rejected,2016,January,15,2016,001F000000nHBIBIA4,4,3,Biology,,,No,Yes,Self,Public,Medium,W,44,8,4,1,3,12500,No,3,1
2016_200,Undergrad,Withdrawn,2016,January,15,2016,001F000000nHCQKIA4,4,3,English Literature,,,Yes,Yes,Self,Private NFP,Medium,W,41,11,0,1,3,12500,No,3,2
2016_203,Undergrad,Withdrawn,2016,January,15,2016,001F000000nHC9zIAG,3,3,English,,Education (secondary),No,No,Self,Private NFP,Medium,E,202,40,15,5,5,12500,No,3,3
2016_205,Undergrad,Rejected,2016,March,4,2016,001F000000nHDH7IAO,3,3,Psychology,,,No,No,Self,Public,Very Large,E,25,16,3,5,2,25000,No,3,1
2016_206,Undergrad,Withdrawn,2016,January,15,2016,001F000000nHCKLIA4,2,3,Criminal Justice,,Social Work,No,No,Self,Public,Medium,S,66,15,10,1,3,12500,No,3,3
2016_211,Undergrad,Rejected,2016,January,15,2016,001F000000nHCFmIAO,4,3,Education (elementary),,,No,Yes,Self,Private NFP,Very Large,E,327,36,23,5,5,25000,No,3,2
2016_212,Undergrad,Accepted,2016,January,15,2016,001F000000nHE91IAG,4,3,Journalism,,Organizational Studies,No,Yes,Self,Private NFP,Very Large,S,109,31,6,0,0,25000,No,3,2
2016_215,Undergrad,Rejected,2016,January,15,2016,001F000000nHCGVIA4,3,3,Linguistics,,,No,No,Self,Public,Large,E,80,34,5,5,2,22500,No,3,2
2016_218,Undergrad,Rejected,2016,October,30,2015,001F000000nHCKLIA4,2,3,Other Science,,,No,No,Recruiter,Public,Medium,S,66,15,10,1,3,12500,No,3,3
2016_221,Undergrad,Rejected,2016,October,30,2015,001F000000nH9c1IAC,4,3,Finance,,,No,No,Recruiter,Public,Large,S,76,21,4,1,3,22500,No,3,2
2016_222,Undergrad,Withdrawn,2016,October,30,2015,001F000000nH9oCIAS,3,3,Spanish,Classics,Business,Yes,Yes,Self,Public,Very Large,S,49,25,4,0,0,25000,No,3,2
2016_223,Undergrad,Rejected,2016,October,30,2015,001F000000nH83VIAS,3,3,English,,,No,No,Self,Public,Very Large,W,299,72,20,2,5,25000,No,3,3
2016_225,Undergrad,Rejected,2016,October,30,2015,001F000000nH7YPIA0,5,3,Political Science,,Economics,No,No,Self,Private NFP,Medium,N,325,19,22,5,5,12500,No,3,3
2016_226,Undergrad,Withdrawn,2016,January,15,2016,001F000000nHAONIA4,4,3,Education (secondary),English,,Yes,No,Self,Public,Medium,E,89,13,2,1,3,12500,No,3,2
2016_228,Undergrad,Rejected,2016,March,4,2016,001F000000nHB71IAG,0,3,Human Development,Communications,,No,No,Self,Public,Medium,E,12,5,0,5,2,12500,No,3,0
2016_232,Undergrad,Rejected,2016,October,30,2015,001F000000nH9bwIAC,4,3,Biology,,Mathematics,No,No,Recruiter,Public,Large,E,23,9,0,1,3,22500,No,3,0
2016_237,Undergrad,Withdrawn,2016,October,30,2015,001F000000nH7C0IAK,0,3,Anthropology,,History,Yes,No,Self,Public,Medium,E,8,3,0,5,2,12500,No,3,0
2016_238,Undergrad,Rejected,2016,October,30,2015,001F000000nHBIBIA4,4,3,English Literature,,,No,Yes,Self,Public,Medium,W,44,8,4,1,3,12500,No,3,1
2016_239,Undergrad,Rejected,2016,October,30,2015,001F000000nH7GDIA0,5,3,English,,Education (general),No,No,Self,Public,Very Large,W,316,53,10,5,2,25000,No,3,3
2016_242,Undergrad,Accepted,2016,January,15,2016,001F000000nH77nIAC,5,3,History,,,No,Yes,Recruiter,Private NFP,Medium,E,487,36,11,5,2,12500,No,3,3
2016_244,Undergrad,Withdrawn,2016,January,15,2016,001F000000nHDwXIAW,3,3,Sociology,,Social Work,No,No,Recruiter,Public,Large,S,10,5,0,5,2,22500,No,3,0
2016_246,Undergrad,Rejected,2016,October,30,2015,001F000000nH7hEIAS,2,3,Communications,,,No,No,Recruiter,Private NFP,Small,E,72,11,3,5,2,5000,No,3,3
2016_247,Undergrad,Withdrawn,2016,October,30,2015,001F000000nHCQUIA4,5,3,Finance,History,,No,No,Self,Private NFP,Large,E,407,32,20,2,5,22500,No,3,3
2016_248,Undergrad,Rejected,2016,October,30,2015,001F000000nH9wzIAC,4,3,Philosophy,,,No,No,Self,Public,Medium,W,66,26,0,5,2,12500,No,3,2
2016_250,Undergrad,Withdrawn,2016,October,30,2015,001F000000nHCJxIAO,4,3,International Business,,Chinese,Yes,Yes,Self,Private NFP,Small,W,73,15,0,2,5,5000,No,3,2
2016_252,Undergrad,Rejected,2016,January,15,2016,001F000000nHAh1IAG,5,3,History,,,Yes,Yes,Self,Public,Very Large,W,595,103,17,5,5,25000,No,3,3
2016_253,Undergrad,Rejected,2016,January,15,2016,001F000000nHAh1IAG,5,3,Sociology,,,No,Yes,Self,Public,Very Large,W,595,103,17,5,5,25000,No,3,3
2016_254,Undergrad,Rejected,2016,January,15,2016,001F000000nHCmgIAG,5,3,Liberal Studies,,Chinese,No,Yes,Self,Private NFP,Very Large,E,326,43,17,1,3,25000,No,3,3
2016_255,Undergrad,Rejected,2016,January,15,2016,001F000000nHAP0IAO,3,3,English Literature,,French,Yes,No,Self,Public,Very Large,S,37,8,0,3,3,25000,No,3,0
2016_257,Undergrad,Rejected,2016,October,30,2015,001F000000nHEN6IAO,4,3,Family Studies,,African-American Studies,No,No,Self,Public,Very Large,S,536,79,28,5,5,25000,No,3,3
2016_259,Undergrad,Rejected,2016,October,30,2015,001F000000nHAh1IAG,5,3,Psychology,,,No,Yes,Self,Public,Very Large,W,595,103,17,5,5,25000,No,3,3
2016_261,Undergrad,Rejected,2016,October,30,2015,001F000000nHAWNIA4,4,3,Economics,,Mathematics,No,Yes,Self,Public,Very Large,S,734,104,22,5,5,25000,No,3,3
2016_262,Undergrad,Rejected,2016,October,30,2015,001F000000nH7K8IAK,3,3,Business,,,No,Yes,Self,Private NFP,Medium,S,25,5,0,0,0,12500,No,3,1
2016_263,Undergrad,Accepted,2016,October,30,2015,001F000000nHCKLIA4,2,3,History,,Political Science,No,No,Recruiter,Public,Medium,S,66,15,10,1,3,12500,No,3,3
2016_269,Undergrad,Rejected,2016,October,30,2015,001F000000nH7hEIAS,2,3,Psychology,,,No,No,Self,Private NFP,Small,E,72,11,3,5,2,5000,No,3,3
2016_271,Undergrad,Withdrawn,2016,January,15,2016,001F000000nH7hPIAS,5,3,Earth Science,,Business,No,Yes,Self,Private NFP,Medium,N,568,31,14,5,5,12500,No,3,3
2016_272,Undergrad,Rejected,2016,January,15,2016,001F000000nHBIBIA4,4,3,Human Development,,Psychology,No,No,Self,Public,Medium,W,44,8,4,1,3,12500,No,3,1
2016_276,Undergrad,Rejected,2016,October,30,2015,001F000000nHCQUIA4,5,3,History,Philosophy,,No,No,Self,Private NFP,Large,E,407,32,20,2,5,22500,No,3,3
2016_280,Undergrad,Rejected,2016,January,15,2016,001F000000nHE91IAG,4,3,International Studies/Relations,,Environmental Science,No,Yes,Self,Private NFP,Very Large,S,109,31,6,0,0,25000,No,3,2
2016_282,Undergrad,Rejected,2016,October,30,2015,001F000000nHES5IAO,4,3,Education (secondary),English Literature,,No,Yes,Self,Private NFP,Small,E,94,8,3,2,5,5000,No,3,2
2016_283,Undergrad,Rejected,2016,October,30,2015,001F000000nH7HJIA0,4,3,Political Science,,History,No,Yes,Self,Private NFP,Small,N,87,6,4,5,5,5000,No,3,3
2016_284,Undergrad,Rejected,2016,March,4,2016,001F000000nHAh1IAG,5,3,Sociology,,African-American Studies,No,No,Self,Public,Very Large,W,595,103,17,5,5,25000,No,3,3
2016_285,Undergrad,Rejected,2016,March,4,2016,001F000000nH7feIAC,3,3,Psychology,,Business,No,No,Self,Public,Very Large,W,264,33,18,1,3,25000,No,3,2
2016_287,Undergrad,Rejected,2016,January,15,2016,001F000000nHAh1IAG,5,3,English Literature,,,Yes,Yes,Self,Public,Very Large,W,595,103,17,5,5,25000,No,3,3
2016_290,Undergrad,Accepted,2016,October,30,2015,001F000000nH73sIAC,3,3,Business,,,No,No,Recruiter,Public,Medium,W,47,18,4,5,2,12500,No,3,2
2016_291,Undergrad,Rejected,2016,October,30,2015,001F000000nHAWqIAO,3,3,Psychology,,,No,No,Self,Public,Very Large,S,26,13,1,1,3,25000,No,3,2
2016_292,Undergrad,Rejected,2016,January,15,2016,001F000000nH7T5IAK,5,3,Other,,Spanish,No,Yes,Recruiter,Public,Medium,W,138,27,8,5,5,12500,No,3,2
2016_294,Undergrad,Accepted,2016,October,30,2015,001F000000nH7QeIAK,4,3,Child Development,Psychology,,Yes,Yes,Recruiter,Private NFP,Large,S,93,16,8,0,0,22500,No,3,2
2016_296,Undergrad,Accepted,2016,October,30,2015,001F000000nH83VIAS,3,3,Education (general),,,No,Yes,Recruiter,Public,Very Large,W,299,72,20,2,5,25000,No,3,3
2016_297,Undergrad,Withdrawn,2016,January,15,2016,001F000000nHAWNIA4,4,3,Education (elementary),,,No,No,Self,Public,Very Large,S,734,104,22,5,5,25000,No,3,3
2016_298,Undergrad,Rejected,2016,March,4,2016,001F000000nHAWKIA4,5,3,International Studies/Relations,Spanish,,No,No,Self,Public,Very Large,N,973,82,38,5,5,25000,No,3,3
2016_299,Undergrad,Rejected,2016,October,30,2015,001F000000nHEN6IAO,4,3,Journalism,,German,No,No,Self,Public,Very Large,S,536,79,28,5,5,25000,No,3,3
2016_300,Undergrad,Rejected,2016,October,30,2015,001F000000nH7GDIA0,5,3,English,,,No,No,Self,Public,Very Large,W,316,53,10,5,2,25000,No,3,3
2016_302,Undergrad,Rejected,2016,October,30,2015,001F000000nH83VIAS,3,3,Biology,,,No,Yes,Recruiter,Public,Very Large,W,299,72,20,2,5,25000,No,3,3
2016_304,Undergrad,Rejected,2016,October,30,2015,001F000000nHCQlIAO,5,3,History,,,No,No,Self,Private NFP,Medium,E,500,57,16,5,2,12500,No,3,3
2016_305,Undergrad,Accepted,2016,October,30,2015,001F000000nHBWlIAO,4,3,Women's Studies,,Economics,No,Yes,Self,Private NFP,Small,E,262,30,12,5,5,5000,No,3,3
2016_308,Undergrad,Accepted,2016,January,15,2016,001F000000nHCGSIA4,4,3,Communications,,Political Science,No,Yes,Self,Private NFP,Medium,E,79,15,6,1,3,12500,No,3,2
2016_309,Undergrad,Rejected,2016,January,15,2016,001F000000nHEwbIAG,3,3,Human Services,,Special Education,No,No,Self,Public,Very Large,W,262,27,5,1,3,25000,No,3,2
2016_310,Undergrad,Withdrawn,2016,January,15,2016,001F000000nH7T5IAK,5,3,Psychology,,,No,No,Self,Public,Medium,W,138,27,8,5,5,12500,No,3,2
2016_311,Undergrad,Rejected,2016,January,15,2016,001F000000nHBVoIAO,5,3,Physics,,Mathematics,No,Yes,Self,Private NFP,Small,E,100,12,0,1,3,5000,Yes,3,2
2016_316,Undergrad,Rejected,2016,January,15,2016,001F000000nH83VIAS,3,3,Human Development,,,No,No,Self,Public,Very Large,W,299,72,20,2,5,25000,No,3,3
